poste,lieu,entreprise,salaire,note,description
EOS Quality Food Safety Data & Integration Expert F/M/X,Gignac,Royal Canin S.A.S,Non renseigné,"4,3","Proven experience in data management, analysis, and reporting within manufacturing or food production environments. + 5 years’ experience in R&D / Q&FS roles.&hellip;
Compétences: Anglais, Sécurité alimentaire"
Consultant expérimenté Data Strategy & Governance | CDI | H/F,Neuilly,PwC,Non renseigné,"3,7","C onnaissance et expérience sur les outils d’outils de data visualisation ou de data management (DQM, MDM, Data catalog , etc.) .&hellip;
Compétences: Modélisation de données, Gouvernance de l'information, Anglais, Gestion de projet, Agile"
Consultant expérimenté Data - Cloud Integration F/H,Courbevoie,KPMG,Non renseigné,"3,7","L'assistance à l'intégration de solutions SaaS au sein de l'écosystème IT de nos clients,. Le recueil des besoins de différents métiers de nos clients (Finance,…&hellip;
Compétences: Azure, Kubernetes, Anglais, Docker, SSL"
Ingénieur système - bases de données db2 (H/F),Fontenay,EURO-INFORMATION PRODUCTION,40 k € - 70 k € (fourni par l’employeur),"3,7","Dans un environnement z/os, réparti sur plusieurs sites, vous intégrerez l'équipe « Bases de données » au sein du domaine « Mainframe » de Systèmes et Réseaux.&hellip;
Compétences: DB2, Bases de données"
Data Scientist R&D (H/F),Strasbourg,EURO-INFORMATION DEVELOPPEMENTS,36 k € - 50 k € (fourni par l’employeur),"3,7","Nous travaillons sur les dernières technologies à l’état de l’art (Finetuning de Large language models open source, Llama, Mixtral etc.).&hellip;
Compétences: C#, Anglais, Java, Esprit d'analyse, Python"
Data analyst Epargne Retraite (F/H) CDD 6 mois,Nanterre,AXA,Non renseigné,"4,1","Présente sur l'ensemble du territoire, AXA France se distingue comme la filiale la plus importante du Groupe en termes de chiffre d'affaires et d'effectifs.&hellip;
Compétences: Power BI, Azure, Veille économique, Compétences rédactionnelles, SQL"
Responsable Equipe Data Financière (H/F),Paris,CREDIT MUTUEL ASSET MANAGEMENT,65 k € - 70 k € (fourni par l’employeur),"4,0","Nos expertises spécialisées couvrent les actifs cotés et non cotés y compris l’immobilier. Crédit Mutuel Asset Management, société de gestion d’actifs côtés,…&hellip;
Compétences: Compétences rédactionnelles, Anglais"
Auteur Freelance - Filière IA spécialité Data,Montpellier,Studi,Non renseigné,"2,9","Machine Learning et Deep Learning. Intelligence artificielle générative (LLM, Computer Vision). Big Data et architectures distribuées (Spark, Hadoop).&hellip;
Compétences: Spark, Visio, Création de contenu, Machine learning, Formation et développement"
Chef de projets data et IA,Nanterre,AXA,Non renseigné,"4,1","Conduire et accompagner à la réussite les initiatives transformationnelles data de l’IARD Entreprise et Professionnels, souscription et actuariat de par ces…&hellip;
Compétences: Power BI, Analyse de données, SharePoint, Intelligence artificielle"
Data Analyst Junior H/F,Le Vésinet,DREAM ENERGY,35 k € (fourni par l’employeur),"3,6","Participer à l’intégration de données externes (météo, prix de l’électricité, etc.) pour affiner les analyses. Collecte et gestion des données*.&hellip;
Compétences: Power BI, Anglais, Bases de données, SQL, Python"
"Ingénieur électronicien: production, test, réparation (H/F)",Beinheim,ADDI-DATA Group,38 k € (fourni par l’employeur),"3,8","Optimisation des processus de production pour améliorer l'efficacité et la qualité. Responsabilité du bon fonctionnement et de l'étalonnage des postes de…&hellip;
Compétences: Anglais, Allemand"
Data Engineer (H/F),Villeneuve-d'Ascq,EURO-INFORMATION DEVELOPPEMENTS,36 k € - 50 k € (fourni par l’employeur),"3,7","Compréhension de l’activité et des besoins de vos clients, en dialogue avec la MOA. Ils coordonnent et mutualisent les énergies sur les projets Data comme dans…&hellip;
Compétences: SAS, Anglais, Hadoop"
Alternance Chargé(e) de projets digitaux/ Data et CRM (F/H),Vénissieux,ISCOD,Non renseigné,"2,6","Piloter et structurer des projets data transverses, en lien avec les métiers : création de nouveaux indicateurs, fiabilisation des données, évolution de…&hellip;
Compétences: Français, Power BI, SAP CRM, Service client, Anglais"
Data Engineer Senior Databricks - F/H/NB,Boulogne-Billancourt,Cegid,73 k € - 85 k € (fourni par l’employeur),"3,1","Coordonner le suivi des prestataires avec l’engineering manager et faciliter la collaboration au sein de l’équipe grâce aux outils et cérémonies Scrum.&hellip;
Compétences: Azure, Service client, Anglais, Services aux visiteurs, Python"
Data Engineer confirmé F/H,Lyon,APRIL,Non renseigné,"3,5","Capacité à interagir avec des profils variés (métier, technique, data) et à vulgariser les concepts data de manière claire et pédagogique.&hellip;
Compétences: Statistiques, Modélisation de données, Azure, Analyse de données, Microsoft SQL Server"
