geoName,Python,React
Albania,51,49
Andorra,71,29
Austria,83,17
Belarus,67,33
Belgium,82,18
Bulgaria,62,38
Croatia,66,34
Czechia,77,23
Denmark,80,20
Estonia,72,28
Faroe Islands,76,24
Finland,75,25
France,80,20
Germany,84,16
Gibraltar,71,29
Greece,76,24
Guernsey,76,24
Hungary,76,24
Iceland,71,29
Ireland,75,25
Isle of Man,61,39
Italy,80,20
Jersey,70,30
Latvia,73,27
Liechtenstein,88,12
Lithuania,66,34
Luxembourg,79,21
Malta,69,31
Moldova,60,40
Monaco,0,0
Montenegro,61,39
Netherlands,82,18
North Macedonia,52,48
Norway,75,25
Poland,74,26
Portugal,72,28
Romania,67,33
Russia,84,16
San Marino,72,28
Serbia,64,36
Slovakia,73,27
Slovenia,79,21
Spain,77,23
Sweden,74,26
Switzerland,87,13
Ukraine,69,31
United Kingdom,76,24
Åland Islands,82,18
